form,team,short_name,overallStrength,defenceStrength,attackStrength,strength,assists,bonus,bps,clean_sheets,expected_goals_conceded,goals_conceded,goals_scored,ict_index,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,starts,team_a_score,team_h_score,total_points,value,was_home,yellow_cards,player_ID,position,oppStrength,next5Strength,expectedAssistHistory,expectedGIsHistory,expectedGoalsHistory,expectedGsConcededHistory,BPShistory,ictHistory,valueForMoney
0.0,1,ARS,1350,1330,1370,5,0,0,0,0,0.0,0,0,0.0,0,14,0,0,0,0,4,0,0,1,3,0,40,True,0,18,GK,3,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,AVL,1285,1350,1220,4,0,0,0,0,0.0,0,0,0.0,0,11,0,0,0,0,4,0,0,0,3,0,40,False,0,53,GK,4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,AVL,1285,1350,1220,4,0,0,0,0,0.0,0,0,0.0,0,11,0,0,0,0,4,0,0,0,3,0,40,False,0,57,GK,4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3,BOU,1100,1075,1130,3,0,0,0,0,0.0,0,0,0.0,0,4,0,0,0,0,4,0,0,2,2,0,40,False,0,80,GK,3,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3,BOU,1100,1075,1130,3,0,0,0,0,0.0,0,0,0.0,0,4,0,0,0,0,4,0,0,2,2,0,40,False,0,88,GK,3,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4,BRE,1100,1090,1110,3,0,0,0,0,0.0,0,0,0.0,0,3,0,0,0,0,4,0,0,2,2,0,40,True,0,91,GK,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4,BRE,1100,1090,1110,3,0,0,0,0,0.0,0,0,0.0,0,3,0,0,0,0,4,0,0,2,2,0,40,True,0,97,GK,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1,ARS,1350,1330,1370,5,0,0,0,0,0.0,0,0,0.0,0,14,0,0,0,0,4,0,0,1,3,0,48,True,0,113,GK,3,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4,BRE,1100,1090,1110,3,0,0,0,0,0.0,0,0,0.0,0,3,0,0,0,0,4,0,0,2,2,0,40,True,0,116,GK,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5,BHA,1100,1135,1070,3,0,0,0,0,0.0,0,0,0.0,0,15,0,0,0,0,4,0,0,1,3,0,40,True,0,141,GK,3,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
